geo_value,time_value,value,name,state,metric
42129,11/17/20,14.07657658,Westmoreland County,PA,barData
42133,11/17/20,29.99972728,York County,PA,barData
42003,11/18/20,51.05427069,Allegheny County,PA,barData
42011,11/18/20,83.23729031,Berks County,PA,barData
42019,11/18/20,17.44044089,Butler County,PA,barData
42077,11/18/20,80.23842274,Lehigh County,PA,barData
42079,11/18/20,7.527286413,Luzerne County,PA,barData
42091,11/18/20,37.98264668,Montgomery County,PA,barData
42101,11/18/20,128.8810779,Philadelphia County,PA,barData
42129,11/18/20,5.278716216,Westmoreland County,PA,barData
42133,11/18/20,21.81798347,York County,PA,barData
42003,11/19/20,19.14535151,Allegheny County,PA,barData
42011,11/19/20,96.04302728,Berks County,PA,barData
42019,11/19/20,34.88088179,Butler County,PA,barData
42077,11/19/20,103.1636864,Lehigh County,PA,barData
42079,11/19/20,15.05457283,Luzerne County,PA,barData
42091,11/19/20,34.42177355,Montgomery County,PA,barData
42101,11/19/20,87.87346221,Philadelphia County,PA,barData
42129,11/19/20,19.35529279,Westmoreland County,PA,barData
42133,11/19/20,35.45422314,York County,PA,barData
42003,11/20/20,56.15969776,Allegheny County,PA,barData
42011,11/20/20,147.2659752,Berks County,PA,barData
42019,11/20/20,24.41661725,Butler County,PA,barData
42077,11/20/20,103.1636864,Lehigh County,PA,barData
42079,11/20/20,17.5636683,Luzerne County,PA,barData
42091,11/20/20,43.91743522,Montgomery County,PA,barData
42101,11/20/20,35.14938489,Philadelphia County,PA,barData
42129,11/20/20,19.35529279,Westmoreland County,PA,barData
42133,11/20/20,62.72670248,York County,PA,barData
42003,11/21/20,99.55582784,Allegheny County,PA,barData
42011,11/21/20,198.488923,Berks County,PA,barData
42019,11/21/20,87.20220447,Butler County,PA,barData
42077,11/21/20,183.4021091,Lehigh County,PA,barData
42079,11/21/20,55.20010036,Luzerne County,PA,barData
42091,11/21/20,80.71312419,Montgomery County,PA,barData
42101,11/21/20,29.29115407,Philadelphia County,PA,barData
42129,11/21/20,28.15315315,Westmoreland County,PA,barData
42133,11/21/20,62.72670248,York County,PA,barData
42003,11/22/20,43.39613009,Allegheny County,PA,barData
42011,11/22/20,102.4458958,Berks County,PA,barData
42019,11/22/20,31.39279361,Butler County,PA,barData
42077,11/22/20,91.70105456,Lehigh County,PA,barData
42079,11/22/20,22.58185924,Luzerne County,PA,barData
42091,11/22/20,54.6000546,Montgomery County,PA,barData
42101,11/22/20,23.43292326,Philadelphia County,PA,barData
42129,11/22/20,12.3170045,Westmoreland County,PA,barData
42133,11/22/20,40.90871901,York County,PA,barData
42003,11/23/20,29.35620565,Allegheny County,PA,barData
42011,11/23/20,44.8200794,Berks County,PA,barData
42019,11/23/20,41.85705815,Butler County,PA,barData
42077,11/23/20,68.77579092,Lehigh County,PA,barData
42079,11/23/20,10.03638188,Luzerne County,PA,barData
42091,11/23/20,41.5435198,Montgomery County,PA,barData
42101,11/23/20,46.86584651,Philadelphia County,PA,barData
42129,11/23/20,8.79786036,Westmoreland County,PA,barData
42133,11/23/20,43.63596695,York County,PA,barData
42003,11/24/20,26.80349211,Allegheny County,PA,barData
42011,11/24/20,64.02868485,Berks County,PA,barData
42019,11/24/20,48.8332345,Butler County,PA,barData
42077,11/24/20,126.08895,Lehigh County,PA,barData
42079,11/24/20,7.527286413,Luzerne County,PA,barData
42091,11/24/20,51.03918147,Montgomery County,PA,barData
42101,11/24/20,41.0076157,Philadelphia County,PA,barData
42129,11/24/20,24.63400901,Westmoreland County,PA,barData
42133,11/24/20,16.3634876,York County,PA,barData
42003,11/25/20,17.86899474,Allegheny County,PA,barData
42011,11/25/20,83.23729031,Berks County,PA,barData
42019,11/25/20,34.88088179,Butler County,PA,barData
42077,11/25/20,22.92526364,Lehigh County,PA,barData
42079,11/25/20,7.527286413,Luzerne County,PA,barData
42091,11/25/20,37.98264668,Montgomery County,PA,barData
42101,11/25/20,23.43292326,Philadelphia County,PA,barData
42129,11/25/20,10.55743243,Westmoreland County,PA,barData
42133,11/25/20,21.81798347,York County,PA,barData
42003,11/26/20,7.658140603,Allegheny County,PA,barData
42011,11/26/20,25.61147394,Berks County,PA,barData
42019,11/26/20,3.488088179,Butler County,PA,barData
42077,11/26/20,0,Lehigh County,PA,barData
42079,11/26/20,5.018190942,Luzerne County,PA,barData
42091,11/26/20,7.121746252,Montgomery County,PA,barData
