geo_value,time_value,indicator,indicator_value
42073,11/26/20,communityIll_value,41.9282821
42073,11/27/20,communityIll_value,39.4747837
42073,11/28/20,communityIll_value,39.7448782
42073,11/29/20,communityIll_value,41.9028583
42073,11/30/20,communityIll_value,39.7444515
42073,12/1/20,communityIll_value,43.6935943
42075,10/1/20,communityIll_value,17.4355558
42075,10/2/20,communityIll_value,19.231289
42075,10/3/20,communityIll_value,18.3404882
42075,10/4/20,communityIll_value,19.0275875
42075,10/5/20,communityIll_value,21.2895666
42075,10/6/20,communityIll_value,24.2437727
42075,10/7/20,communityIll_value,23.3896627
42075,10/8/20,communityIll_value,22.6906416
42075,10/9/20,communityIll_value,23.5939701
42075,10/10/20,communityIll_value,23.1335221
42075,10/11/20,communityIll_value,23.3655772
42075,10/12/20,communityIll_value,21.6544322
42075,10/13/20,communityIll_value,17.0528539
42075,10/14/20,communityIll_value,14.4826973
42075,10/15/20,communityIll_value,14.2130502
42075,10/16/20,communityIll_value,16.7932307
42075,10/17/20,communityIll_value,16.7223292
42075,10/18/20,communityIll_value,13.7955557
42075,10/19/20,communityIll_value,12.3234528
42075,10/20/20,communityIll_value,14.6928082
42075,10/21/20,communityIll_value,19.6768096
42075,10/22/20,communityIll_value,20.4620014
42075,10/23/20,communityIll_value,17.70601
42075,10/24/20,communityIll_value,18.0681362
42075,10/25/20,communityIll_value,17.7640717
42075,10/26/20,communityIll_value,20.4546187
42075,10/27/20,communityIll_value,21.3798272
42075,10/28/20,communityIll_value,20.7412199
42075,10/29/20,communityIll_value,23.3821085
42075,10/30/20,communityIll_value,23.9734479
42075,11/11/20,communityIll_value,21.1644488
42075,11/12/20,communityIll_value,23.2889475
42075,11/13/20,communityIll_value,28.2625332
42075,11/14/20,communityIll_value,30.7683986
42075,11/15/20,communityIll_value,31.9593215
42075,11/16/20,communityIll_value,30.9091716
42075,11/17/20,communityIll_value,34.6252639
42075,11/18/20,communityIll_value,36.2778831
42075,11/19/20,communityIll_value,36.2471672
42075,11/20/20,communityIll_value,33.1945312
42075,11/21/20,communityIll_value,32.8962512
42075,11/22/20,communityIll_value,33.5459064
42075,11/23/20,communityIll_value,34.2772208
42075,11/24/20,communityIll_value,32.6248787
42075,11/25/20,communityIll_value,32.8277368
42075,11/26/20,communityIll_value,31.5256424
42075,11/27/20,communityIll_value,33.827526
42075,11/28/20,communityIll_value,34.1557035
42075,11/29/20,communityIll_value,32.6795714
42075,11/30/20,communityIll_value,34.7980473
42075,12/1/20,communityIll_value,34.0252334
42077,10/1/20,communityIll_value,11.9746394
42077,10/2/20,communityIll_value,12.6992099
42077,10/3/20,communityIll_value,12.0940995
42077,10/4/20,communityIll_value,12.2162098
42077,10/5/20,communityIll_value,14.719521
42077,10/6/20,communityIll_value,14.7923431
42077,10/7/20,communityIll_value,15.8200011
42077,10/8/20,communityIll_value,16.1487572
42077,10/9/20,communityIll_value,17.2686154
42077,10/10/20,communityIll_value,17.7491346
42077,10/11/20,communityIll_value,17.4928879
42077,10/12/20,communityIll_value,16.109019
42077,10/13/20,communityIll_value,15.321468
42077,10/14/20,communityIll_value,14.34847
42077,10/15/20,communityIll_value,13.7258527
42077,10/16/20,communityIll_value,12.9813395
42077,10/17/20,communityIll_value,13.1628148
42077,10/18/20,communityIll_value,13.1084614
42077,10/19/20,communityIll_value,12.6935127
42077,10/20/20,communityIll_value,13.9005428
42077,10/21/20,communityIll_value,13.3985797
42077,10/22/20,communityIll_value,14.2654228
42077,10/23/20,communityIll_value,13.8238687
42077,10/24/20,communityIll_value,13.0946887
42077,10/25/20,communityIll_value,13.6588451
42077,10/26/20,communityIll_value,14.4456023
42077,10/27/20,communityIll_value,13.953138
42077,10/28/20,communityIll_value,15.2693224
42077,10/29/20,communityIll_value,15.0425976
42077,10/30/20,communityIll_value,15.1507029
42077,10/31/20,communityIll_value,15.6815937
42077,11/1/20,communityIll_value,14.6023905
42077,11/2/20,communityIll_value,15.2324806
42077,11/3/20,communityIll_value,14.723601
42077,11/4/20,communityIll_value,14.7087344
42077,11/5/20,communityIll_value,15.2068073
42077,11/6/20,communityIll_value,14.4916998
42077,11/7/20,communityIll_value,15.5321456
42077,11/8/20,communityIll_value,15.7500449
42077,11/9/20,communityIll_value,14.465898
42077,11/10/20,communityIll_value,16.4886149
42077,11/11/20,communityIll_value,19.5028206
42077,11/12/20,communityIll_value,19.8418606
42077,11/13/20,communityIll_value,22.8633165
42077,11/14/20,communityIll_value,25.0160027
42077,11/15/20,communityIll_value,25.1811322
42077,11/16/20,communityIll_value,25.2096199
42077,11/17/20,communityIll_value,25.9632064
42077,11/18/20,communityIll_value,25.3549757
42077,11/19/20,communityIll_value,25.8599296
42077,11/20/20,communityIll_value,26.1478754
42077,11/21/20,communityIll_value,24.9901121
42077,11/22/20,communityIll_value,26.5316269
42077,11/23/20,communityIll_value,28.4065117
42077,11/24/20,communityIll_value,30.2389412
42077,11/25/20,communityIll_value,30.7524809
42077,11/26/20,communityIll_value,30.3890968
42077,11/27/20,communityIll_value,30.4101242
42077,11/28/20,communityIll_value,30.5362264
42077,11/29/20,communityIll_value,28.723546
42077,11/30/20,communityIll_value,27.4362343
42077,12/1/20,communityIll_value,25.4985676
42079,10/1/20,communityIll_value,13.7118147
42079,10/2/20,communityIll_value,12.213218
42079,10/3/20,communityIll_value,12.0186223
42079,10/4/20,communityIll_value,13.4402017
42079,10/5/20,communityIll_value,12.8713436
42079,10/6/20,communityIll_value,14.1955637
42079,10/7/20,communityIll_value,15.3980588
42079,10/8/20,communityIll_value,16.2572835
42079,10/9/20,communityIll_value,19.3462188
42079,10/10/20,communityIll_value,20.2218444
42079,10/11/20,communityIll_value,19.3368469
42079,10/12/20,communityIll_value,20.0974782
42079,10/13/20,communityIll_value,19.5728322
42079,10/14/20,communityIll_value,21.1081648
42079,10/15/20,communityIll_value,21.8538674
42079,10/16/20,communityIll_value,20.4861334
42079,10/17/20,communityIll_value,20.2850292
42079,10/18/20,communityIll_value,21.509113
42079,10/19/20,communityIll_value,22.0344498
42079,10/20/20,communityIll_value,22.305554
42079,10/21/20,communityIll_value,21.5341557
42079,10/22/20,communityIll_value,21.7847319
42079,10/23/20,communityIll_value,22.7536067
42079,10/24/20,communityIll_value,24.0442155
42079,10/25/20,communityIll_value,24.5400923
42079,10/26/20,communityIll_value,25.5278386
42079,10/27/20,communityIll_value,25.4283854
42079,10/28/20,communityIll_value,25.9657856
42079,10/29/20,communityIll_value,25.4649864
42079,10/30/20,communityIll_value,26.3066811
42079,10/31/20,communityIll_value,25.767958
